comentario,polaridad,tema,tono,longitud,satisfaccion_min,satisfaccion_max,aspecto_variable,aspecto_valor_min,aspecto_valor_max
A lo largo de estas semanas he notado que la forma de plantear las tareas no siempre ayuda a consolidar lo aprendido.,negativo,metodologia,constructivo,corto,1,3,organiza_actividades,1,3
"Si pienso en el progreso del curso, creo que la experiencia general ha sido muy positiva para mí.",muy_positivo,general,formal,corto,4,5,ninguno,1,5
Desde el primer módulo he sentido que no siempre el profesor responde de forma clara a las dudas. Creo que aún se podrían mejorar algunos detalles.,negativo,profesor,constructivo,medio,1,3,recomendaria_profesor,1,3
Echo en falta más actividades prácticas en esta metodología. La evolución de la dificultad está bastante cuidada. Creo que resume bien cómo vivo el curso.,negativo,metodologia,informal,medio,1,3,organiza_actividades,1,3
Mirando mi avance hasta ahora entiendo que la calidad de audio y vídeo en las clases online es excelente. Se aprovechan bien las herramientas colaborativas online. Es algo que impacta en mi motivación diaria.,muy_positivo,tecnologia,informal,largo,4,5,clase_visibilidad_pantalla,4,5
El equipo de soporte responde rápido y soluciona los problemas eficazmente. Siento que hacen un esfuerzo genuino por escucharnos.,muy_positivo,soporte,formal,medio,4,5,velocidad_respuesta,4,5
Las soluciones que me han dado no siempre han sido claras. Este punto me genera bastante frustración. Detectan incidencias antes de que se conviertan en un problema.,negativo,soporte,queja,medio,1,3,utilidad_anuncios,1,3
Con la mente puesta en mis objetivos profesionales valoro que parte del contenido me ha parecido desactualizado o repetitivo.,negativo,contenido,formal,corto,1,3,contenidos_adecuados,1,3
El contenido del curso no ha cumplido mis expectativas. Cada unidad conecta con tendencias actuales del sector.,muy_negativo,contenido,formal,medio,1,2,conocimientos_utiles_futuro,1,2
"No recomendaría este curso a otras personas. Es una formación que recomendaría a otros perfiles como el mío. Para mí, marca la diferencia respecto a otros programas.",muy_negativo,general,formal,largo,1,2,ninguno,1,5
"Si pienso en el progreso del curso, creo que me siento muy acompañado por el soporte académico y técnico.",muy_positivo,soporte,elogio,corto,4,5,utilidad_anuncios,4,5
"Cuando comparo esta formación con otras, percibo que las clases se me hacen muy pesadas y difíciles de seguir. Este punto me genera bastante frustración. El equipo docente cuida los ritmos y los descansos.",muy_negativo,clase,queja,corto,1,2,clase_conveniencia_dia,1,2
"A lo largo de estas semanas he notado que la estructura de las sesiones es razonable, pero algo predecible. Me gustaría que se introdujeran cambios en este sentido. Consigue equilibrar teoría y casos reales de forma constante. Creo que resume bien cómo vivo el curso.",neutral,metodologia,sugerencia,largo,2,4,organiza_actividades,2,4
"En mi día a día con el curso observo que he tenido algunas incidencias técnicas, pero nada grave.",neutral,tecnologia,informal,medio,2,4,clase_calidad_conexion,2,4
"Mirando mi avance hasta ahora entiendo que la metodología del curso me resulta correcta, sin destacar demasiado. Define la confianza que tengo en seguir avanzando.",neutral,metodologia,informal,largo,2,4,contenidos_adecuados,2,4
Desde el primer módulo he sentido que repetiría una formación similar con esta escuela.,positivo,general,informal,corto,3,5,ninguno,1,5
Desde mi perspectiva personal considero que el contenido es interesante y útil en la mayoría de los temas. Es un aspecto que comparto también con mis compañeros.,positivo,contenido,informal,largo,3,5,contenidos_adecuados,3,5
"Si pienso en el progreso del curso, creo que he echado en falta mayor profundidad en ciertos apartados. Este punto me genera bastante frustración. Hay ejemplos que puedo trasladar directamente a mis proyectos.",negativo,contenido,queja,corto,1,3,conocimientos_utiles_futuro,1,3
La atención es aceptable pero podría ser más proactiva. Me gustaría que se introdujeran cambios en este sentido. Detectan incidencias antes de que se conviertan en un problema. Creo que resume bien cómo vivo el curso.,neutral,soporte,sugerencia,largo,2,4,utilidad_anuncios,2,4
La dedicación del profesor marca una diferencia enorme en mi aprendizaje. Valoro mucho este aspecto del curso. Noto que el enfoque del docente está muy actualizado.,muy_positivo,profesor,elogio,medio,4,5,preparado_clases,4,5
Las conexiones fallan con bastante frecuencia. La parte digital nunca me ha dejado fuera de una actividad.,negativo,tecnologia,informal,medio,1,3,clase_visibilidad_pantalla,1,3
Analizando lo que he aprendido siento que la mayor parte del contenido me resulta aplicable a mi trabajo. Creo que aún se podrían mejorar algunos detalles.,positivo,contenido,constructivo,corto,3,5,conocimientos_utiles_futuro,3,5
Estoy muy decepcionado con el enfoque y selección del temario. Este punto me genera bastante frustración. Cada unidad conecta con tendencias actuales del sector.,muy_negativo,contenido,queja,medio,1,2,conocimientos_utiles_futuro,1,2
Desde mi perspectiva personal considero que la experiencia tecnológica es satisfactoria en la mayoría de las clases. Me gustaría que se introdujeran cambios en este sentido. Se aprovechan bien las herramientas colaborativas online.,positivo,tecnologia,sugerencia,medio,3,5,clase_visibilidad_pantalla,3,5
"Si pienso en el progreso del curso, creo que estoy muy insatisfecho con la atención recibida por parte del soporte. Este punto me genera bastante frustración. El feedback que recibo es claro y accionable. Esa impresión se mantiene con el paso de las semanas.",muy_negativo,soporte,queja,medio,1,2,utilidad_anuncios,1,2
No siento que el equipo de soporte se preocupe por mis problemas.,muy_negativo,soporte,queja,corto,1,2,velocidad_respuesta,1,2
Analizando lo que he aprendido siento que en general las clases son agradables y productivas. Me gustaría que se introdujeran cambios en este sentido. Salgo de cada clase con ideas prácticas para aplicar.,positivo,clase,sugerencia,corto,3,5,clase_horario,3,5
La metodología a veces hace que las clases se sientan algo monótonas. Es algo que impacta en mi motivación diaria.,negativo,metodologia,informal,largo,1,3,conocimientos_utiles_futuro,1,3
A lo largo de estas semanas he notado que la metodología es adecuada y me ayuda a entender mejor los temas. Me gustaría que se introdujeran cambios en este sentido. Permite que la práctica tenga un peso real en el aprendizaje.,positivo,metodologia,sugerencia,medio,3,5,grado_dificultad,3,5
La plataforma a veces se bloquea o responde lenta. Creo que aún se podrían mejorar algunos detalles. Se refleja en los resultados que obtengo en cada entrega.,negativo,tecnologia,constructivo,largo,1,3,clase_calidad_audio,1,3
"El curso ha cumplido, pero no ha destacado demasiado. Siento que aprovecho cada hora dedicada a este programa. Es un aspecto que comparto también con mis compañeros.",neutral,general,informal,largo,2,4,ninguno,1,5
Mirando mi avance hasta ahora entiendo que echo en falta más ejemplos o aclaraciones por parte del profesor.,negativo,profesor,queja,corto,1,3,dominio_materia,1,3
Al repasar mis notas concluyo que el profesor responde a las dudas y facilita el seguimiento del temario. Creo que aún se podrían mejorar algunos detalles. Hace que las dudas se resuelvan con rapidez.,positivo,profesor,constructivo,medio,3,5,recomendaria_profesor,3,5
En mi día a día con el curso observo que la experiencia general ha sido muy positiva para mí. Valoro mucho este aspecto del curso. Refuerza mi decisión de apostar por el sector tecnológico.,muy_positivo,general,elogio,medio,4,5,ninguno,1,5
En conversaciones con mis compañeros coincidimos en que no siento que el equipo de soporte se preocupe por mis problemas. Detectan incidencias antes de que se conviertan en un problema.,muy_negativo,soporte,formal,medio,1,2,utilidad_anuncios,1,2
En general estoy contento con el curso.,positivo,general,constructivo,corto,3,5,ninguno,1,5
En mi día a día con el curso observo que en general estoy contento con el curso.,positivo,general,constructivo,corto,3,5,ninguno,1,5
"Desde el primer módulo he sentido que mi experiencia general con el curso es correcta, sin ser espectacular. Me gustaría que se introdujeran cambios en este sentido. Me deja con ganas de seguir conectada a la comunidad. Esa impresión se mantiene con el paso de las semanas.",neutral,general,sugerencia,medio,2,4,ninguno,1,5
En conversaciones con mis compañeros coincidimos en que me encanta la combinación de teoría y práctica que se utiliza en el curso.,muy_positivo,metodologia,formal,corto,4,5,contenidos_adecuados,4,5
Desde el primer módulo he sentido que las soluciones que me han dado no siempre han sido claras. Este punto me genera bastante frustración.,negativo,soporte,queja,medio,1,3,velocidad_respuesta,1,3
"Desde el primer módulo he sentido que el profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles. Noto que el enfoque del docente está muy actualizado.",neutral,profesor,formal,medio,2,4,dominio_materia,2,4
El equipo de soporte responde rápido y soluciona los problemas eficazmente. Siempre encontramos a alguien disponible en el campus virtual. Me ayuda a decidir en qué módulos profundizar.,muy_positivo,soporte,informal,largo,4,5,utilidad_anuncios,4,5
"El profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles. Creo que aún se podrían mejorar algunos detalles. Me anima a preparar las sesiones con antelación.",neutral,profesor,constructivo,corto,2,4,accesible_y_atiende_consultas,2,4
Mirando mi avance hasta ahora entiendo que el formato de las sesiones me ayuda a seguir el hilo del curso. Se refleja en los resultados que obtengo en cada entrega.,positivo,clase,informal,largo,3,5,clase_horario,3,5
En conversaciones con mis compañeros coincidimos en que el contenido del curso no ha cumplido mis expectativas. Este punto me genera bastante frustración. Aporta claridad sobre temas que antes veía confusos.,muy_negativo,contenido,queja,corto,1,2,conocimientos_utiles_futuro,1,2
"En mi día a día con el curso observo que las explicaciones del profesor son correctas pero podrían ser más dinámicas. Me gustaría que se introdujeran cambios en este sentido. Para mí, marca la diferencia respecto a otros programas.",neutral,profesor,sugerencia,medio,2,4,mantiene_atencion,2,4
Me siento perdido en las clases por la falta de claridad del profesor. La disponibilidad del profesorado genera mucha confianza.,muy_negativo,profesor,formal,corto,1,2,accesible_y_atiende_consultas,1,2
Desde el primer módulo he sentido que hay varios aspectos del curso que me han dejado insatisfecho. Siento que aprovecho cada hora dedicada a este programa.,negativo,general,formal,corto,1,3,ninguno,1,5
En conversaciones con mis compañeros coincidimos en que la calidad técnica es muy mala y rompe el flujo de las clases. Este punto me genera bastante frustración. Las grabaciones mantienen una calidad más que correcta. Es algo que impacta en mi motivación diaria.,muy_negativo,tecnologia,queja,medio,1,2,clase_calidad_audio,1,2
"Desde el primer módulo he sentido que siempre que he tenido una duda, el soporte me ha ayudado de inmediato. Valoro mucho este aspecto del curso. El feedback que recibo es claro y accionable. Siento que el equipo debería tenerlo en cuenta.",muy_positivo,soporte,elogio,largo,4,5,utilidad_anuncios,4,5
"Cuando comparo esta formación con otras, percibo que el curso ha superado mis expectativas en casi todos los aspectos. Es un hito importante dentro de mi itinerario profesional. Esa impresión se mantiene con el paso de las semanas.",muy_positivo,general,formal,medio,4,5,ninguno,1,5
Desde mi perspectiva personal considero que estoy muy decepcionado con el enfoque y selección del temario. Aporta claridad sobre temas que antes veía confusos. Se refleja en los resultados que obtengo en cada entrega.,muy_negativo,contenido,formal,largo,1,2,conocimientos_utiles_futuro,1,2
"A lo largo de estas semanas he notado que la estructura de las sesiones es razonable, pero algo predecible. Las dinámicas se integran bien con los objetivos de cada módulo.",neutral,metodologia,formal,medio,2,4,organiza_actividades,2,4
La metodología es adecuada y me ayuda a entender mejor los temas. Me gustaría que se introdujeran cambios en este sentido. Permite que la práctica tenga un peso real en el aprendizaje.,positivo,metodologia,sugerencia,medio,3,5,contenidos_adecuados,3,5
"No disfruto las clases y a menudo desconecto. Este punto me genera bastante frustración. Para mí, marca la diferencia respecto a otros programas.",muy_negativo,clase,queja,medio,1,2,clase_duracion,1,2
A lo largo de estas semanas he notado que no siento que el equipo de soporte se preocupe por mis problemas. El seguimiento individual ayuda a no perder el ritmo.,muy_negativo,soporte,formal,corto,1,2,velocidad_respuesta,1,2
"Si pienso en el progreso del curso, creo que las clases tienen un ritmo muy bueno y mantienen mi atención. El equipo docente cuida los ritmos y los descansos. Se refleja en los resultados que obtengo en cada entrega.",muy_positivo,clase,informal,largo,4,5,clase_duracion,4,5
"Mirando mi avance hasta ahora entiendo que los materiales del curso aportan valor y complementan bien las clases. Me gustaría que se introdujeran cambios en este sentido. Cada unidad conecta con tendencias actuales del sector. Para mí, marca la diferencia respecto a otros programas.",positivo,contenido,sugerencia,largo,3,5,contenidos_adecuados,3,5
En conversaciones con mis compañeros coincidimos en que la dedicación del profesor marca una diferencia enorme en mi aprendizaje.,muy_positivo,profesor,formal,medio,4,5,mantiene_atencion,4,5
Al repasar mis notas concluyo que los problemas técnicos son constantes y afectan mucho a mi aprendizaje. Este punto me genera bastante frustración.,muy_negativo,tecnologia,queja,medio,1,2,clase_calidad_conexion,1,2
"La metodología del curso es muy práctica y facilita mucho el aprendizaje. Valoro mucho este aspecto del curso. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,metodologia,elogio,largo,4,5,organiza_actividades,4,5
En general las clases son agradables y productivas. Me gustaría que se introdujeran cambios en este sentido. La organización del aula está pensada para colaborar. Define la confianza que tengo en seguir avanzando.,positivo,clase,sugerencia,largo,3,5,clase_conveniencia_dia,3,5
Analizando lo que he aprendido siento que no siempre el profesor responde de forma clara a las dudas. Creo que aún se podrían mejorar algunos detalles. La disponibilidad del profesorado genera mucha confianza. Es un aspecto que comparto también con mis compañeros.,negativo,profesor,constructivo,medio,1,3,mantiene_atencion,1,3
"En mi día a día con el curso observo que en conjunto, el curso no ha cumplido del todo mis expectativas. Refuerza mi decisión de apostar por el sector tecnológico.",negativo,general,formal,medio,1,3,ninguno,1,5
Con la mente puesta en mis objetivos profesionales valoro que la mayoría de las sesiones me parecen poco aprovechables. Este punto me genera bastante frustración.,muy_negativo,clase,queja,corto,1,2,clase_duracion,1,2
Desde el primer módulo he sentido que la mayor parte del contenido me resulta aplicable a mi trabajo. Me gustaría que se introdujeran cambios en este sentido. Encuentro referencias útiles para seguir investigando por mi cuenta.,positivo,contenido,sugerencia,corto,3,5,contenidos_adecuados,3,5
A lo largo de estas semanas he notado que en general estoy satisfecho con el contenido que se ha impartido. Me gustaría que se introdujeran cambios en este sentido. Encuentro referencias útiles para seguir investigando por mi cuenta.,positivo,contenido,sugerencia,corto,3,5,contenidos_adecuados,3,5
En conversaciones con mis compañeros coincidimos en que he tenido que insistir más de una vez para resolver algunos problemas. Este punto me genera bastante frustración. Es un aspecto que comparto también con mis compañeros.,negativo,soporte,queja,largo,1,3,utilidad_anuncios,1,3
Las dinámicas de clase me resultan poco útiles y repetitivas.,muy_negativo,metodologia,queja,corto,1,2,grado_dificultad,1,2
"El programa del curso cubre exactamente lo que esperaba aprender. Valoro mucho este aspecto del curso. Aporta claridad sobre temas que antes veía confusos. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,contenido,elogio,medio,4,5,conocimientos_utiles_futuro,4,5
"Si pienso en el progreso del curso, creo que he echado en falta mayor profundidad en ciertos apartados. Define la confianza que tengo en seguir avanzando.",negativo,contenido,informal,largo,1,3,contenidos_adecuados,1,3
"Analizando lo que he aprendido siento que no tengo una opinión muy fuerte sobre el soporte, es razonable. Me gustaría que se introdujeran cambios en este sentido. Creo que resume bien cómo vivo el curso.",neutral,soporte,sugerencia,largo,2,4,utilidad_anuncios,2,4
La forma de estructurar las actividades hace que todo sea muy fluido. Valoro mucho este aspecto del curso. Se refleja en los resultados que obtengo en cada entrega.,muy_positivo,metodologia,elogio,largo,4,5,organiza_actividades,4,5
Analizando lo que he aprendido siento que la mayoría de las sesiones me parecen poco aprovechables. Es algo que impacta en mi motivación diaria.,muy_negativo,clase,formal,largo,1,2,clase_horario,1,2
"El contenido es correcto, aunque algunos temas me han parecido básicos. Me gustaría que se introdujeran cambios en este sentido. Lo tengo muy presente cuando hablo de la escuela.",neutral,contenido,sugerencia,largo,2,4,conocimientos_utiles_futuro,2,4
"Si pienso en el progreso del curso, creo que el soporte responde de forma correcta, sin destacar demasiado. Me gustaría que se introdujeran cambios en este sentido. Detectan incidencias antes de que se conviertan en un problema. Es un aspecto que comparto también con mis compañeros.",neutral,soporte,sugerencia,largo,2,4,velocidad_respuesta,2,4
Me cuesta seguir las explicaciones del profesor en algunas sesiones. Esa impresión se mantiene con el paso de las semanas.,negativo,profesor,formal,medio,1,3,mantiene_atencion,1,3
Con la mente puesta en mis objetivos profesionales valoro que hay partes del contenido que me interesan y otras que no tanto.,neutral,contenido,sugerencia,corto,2,4,contenidos_adecuados,2,4
"Con la mente puesta en mis objetivos profesionales valoro que la calidad de audio y vídeo en las clases online es excelente. La plataforma permite seguir la clase incluso desde el móvil. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,tecnologia,informal,largo,4,5,clase_calidad_audio,4,5
La atención es aceptable pero podría ser más proactiva. La comunicación por correo y chat está bien coordinada.,neutral,soporte,formal,medio,2,4,utilidad_anuncios,2,4
Al repasar mis notas concluyo que he tenido que insistir más de una vez para resolver algunos problemas. Este punto me genera bastante frustración. Es un aspecto que comparto también con mis compañeros.,negativo,soporte,queja,medio,1,3,utilidad_anuncios,1,3
Con la mente puesta en mis objetivos profesionales valoro que estoy muy decepcionado con el enfoque y selección del temario. Este punto me genera bastante frustración.,muy_negativo,contenido,queja,corto,1,2,contenidos_adecuados,1,2
En mi día a día con el curso observo que no siento que el equipo de soporte se preocupe por mis problemas. Este punto me genera bastante frustración. El seguimiento individual ayuda a no perder el ritmo.,muy_negativo,soporte,queja,medio,1,2,velocidad_respuesta,1,2
Me siento muy acompañado por el soporte académico y técnico. Valoro mucho este aspecto del curso. Detectan incidencias antes de que se conviertan en un problema.,muy_positivo,soporte,elogio,corto,4,5,velocidad_respuesta,4,5
Mirando mi avance hasta ahora entiendo que hay partes del contenido que me interesan y otras que no tanto.,neutral,contenido,sugerencia,corto,2,4,conocimientos_utiles_futuro,2,4
La mayor parte del contenido me resulta aplicable a mi trabajo. Creo que aún se podrían mejorar algunos detalles. Encuentro referencias útiles para seguir investigando por mi cuenta. Es algo que impacta en mi motivación diaria.,positivo,contenido,constructivo,medio,3,5,conocimientos_utiles_futuro,3,5
A lo largo de estas semanas he notado que el contenido del curso no ha cumplido mis expectativas. Me da herramientas concretas para actuar en el trabajo.,muy_negativo,contenido,formal,medio,1,2,conocimientos_utiles_futuro,1,2
Siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar. Permite que la práctica tenga un peso real en el aprendizaje. Es algo que impacta en mi motivación diaria.,muy_negativo,metodologia,formal,largo,1,2,contenidos_adecuados,1,2
Mirando mi avance hasta ahora entiendo que el profesor explica los conceptos de forma muy clara y estructurada. Hace que las dudas se resuelvan con rapidez.,muy_positivo,profesor,informal,medio,4,5,recomendaria_profesor,4,5
Las conexiones fallan con bastante frecuencia. Las grabaciones mantienen una calidad más que correcta. Creo que resume bien cómo vivo el curso.,negativo,tecnologia,informal,medio,1,3,clase_calidad_conexion,1,3
En ocasiones las clases se hacen demasiado largas. Salgo de cada clase con ideas prácticas para aplicar.,negativo,clase,informal,medio,1,3,clase_horario,1,3
"La metodología del curso me resulta correcta, sin destacar demasiado. La evolución de la dificultad está bastante cuidada.",neutral,metodologia,formal,medio,2,4,organiza_actividades,2,4
"Mirando mi avance hasta ahora entiendo que siento que la forma de trabajar es estándar, ni especialmente buena ni mala. La secuencia de actividades mantiene el interés del grupo. Es un aspecto que comparto también con mis compañeros.",neutral,metodologia,informal,largo,2,4,grado_dificultad,2,4
El balance del curso es claramente positivo para mí. Me gustaría que se introdujeran cambios en este sentido. Es una formación que recomendaría a otros perfiles como el mío.,positivo,general,sugerencia,corto,3,5,ninguno,1,5
"Si pienso en el progreso del curso, creo que el equipo de soporte responde rápido y soluciona los problemas eficazmente.",muy_positivo,soporte,formal,corto,4,5,velocidad_respuesta,4,5
El soporte suele responder en un tiempo razonable. Creo que aún se podrían mejorar algunos detalles. Detectan incidencias antes de que se conviertan en un problema. Lo tengo muy presente cuando hablo de la escuela.,positivo,soporte,constructivo,largo,3,5,velocidad_respuesta,3,5
Las conexiones fallan con bastante frecuencia. Lo tengo muy presente cuando hablo de la escuela.,negativo,tecnologia,informal,largo,1,3,clase_calidad_audio,1,3
La atención al alumno podría ser bastante más ágil.,negativo,soporte,formal,corto,1,3,utilidad_anuncios,1,3
"Cuando comparo esta formación con otras, percibo que me siento muy acompañado por el profesor durante todo el curso. Noto que el enfoque del docente está muy actualizado. Lo tengo muy presente cuando hablo de la escuela.",muy_positivo,profesor,informal,largo,4,5,mantiene_atencion,4,5
Desde el primer módulo he sentido que la plataforma a veces se bloquea o responde lenta. Este punto me genera bastante frustración. Se nota que prueban las soluciones antes de cada sesión.,negativo,tecnologia,queja,medio,1,3,clase_visibilidad_pantalla,1,3
En conversaciones con mis compañeros coincidimos en que en general las clases son agradables y productivas.,positivo,clase,constructivo,corto,3,5,clase_horario,3,5
"A veces tardan un poco en contestar, pero termina resolviéndose. Creo que aún se podrían mejorar algunos detalles. Siempre encontramos a alguien disponible en el campus virtual.",neutral,soporte,constructivo,medio,2,4,velocidad_respuesta,2,4
Mirando mi avance hasta ahora entiendo que a veces el profesor no consigue que los conceptos queden claros.,negativo,profesor,queja,corto,1,3,mantiene_atencion,1,3
Con la mente puesta en mis objetivos profesionales valoro que hay varios aspectos del curso que me han dejado insatisfecho. Es una formación que recomendaría a otros perfiles como el mío.,negativo,general,formal,medio,1,3,ninguno,1,5
El contenido del curso está muy bien seleccionado y actualizado. Valoro mucho este aspecto del curso. Aporta claridad sobre temas que antes veía confusos.,muy_positivo,contenido,elogio,medio,4,5,contenidos_adecuados,4,5
"Cuando comparo esta formación con otras, percibo que no siento que el equipo de soporte se preocupe por mis problemas.",muy_negativo,soporte,queja,corto,1,2,velocidad_respuesta,1,2
Solo he tenido pequeños problemas técnicos que se han resuelto rápido.,positivo,tecnologia,constructivo,corto,3,5,clase_visibilidad_pantalla,3,5
"Cuando comparo esta formación con otras, percibo que el formato de las sesiones me ayuda a seguir el hilo del curso. Creo que aún se podrían mejorar algunos detalles.",positivo,clase,constructivo,medio,3,5,clase_conveniencia_dia,3,5
Me siento perdido en las clases por la falta de claridad del profesor.,muy_negativo,profesor,formal,corto,1,2,accesible_y_atiende_consultas,1,2
"Mirando mi avance hasta ahora entiendo que he tenido varios problemas técnicos que cortan el ritmo de la sesión. Creo que aún se podrían mejorar algunos detalles. La plataforma permite seguir la clase incluso desde el móvil. Para mí, marca la diferencia respecto a otros programas.",negativo,tecnologia,constructivo,medio,1,3,clase_calidad_audio,1,3
Con la mente puesta en mis objetivos profesionales valoro que no siento que el equipo de soporte se preocupe por mis problemas.,muy_negativo,soporte,queja,corto,1,2,velocidad_respuesta,1,2
En conversaciones con mis compañeros coincidimos en que el balance del curso es claramente positivo para mí. Valoro mucho este aspecto del curso. Es un aspecto que comparto también con mis compañeros.,positivo,general,elogio,medio,3,5,ninguno,1,5
Estoy muy insatisfecho con la parte tecnológica del curso.,muy_negativo,tecnologia,queja,corto,1,2,clase_calidad_conexion,1,2
"La calidad técnica es aceptable, pero mejorable. Me gustaría que se introdujeran cambios en este sentido. El soporte técnico interviene con rapidez cuando hace falta. Define la confianza que tengo en seguir avanzando.",neutral,tecnologia,sugerencia,largo,2,4,clase_calidad_conexion,2,4
"A lo largo de estas semanas he notado que las actividades son aceptables, aunque podrían ser más variadas. Me gustaría que se introdujeran cambios en este sentido. La evolución de la dificultad está bastante cuidada. Define la confianza que tengo en seguir avanzando.",neutral,metodologia,sugerencia,largo,2,4,organiza_actividades,2,4
Tras varias sesiones puedo decir que hay varios aspectos del curso que me han dejado insatisfecho. Este punto me genera bastante frustración. Siento que aprovecho cada hora dedicada a este programa. Es algo que impacta en mi motivación diaria.,negativo,general,queja,largo,1,3,ninguno,1,5
"Si pienso en el progreso del curso, creo que el contenido es correcto, aunque algunos temas me han parecido básicos. Cada unidad conecta con tendencias actuales del sector.",neutral,contenido,informal,corto,2,4,contenidos_adecuados,2,4
Repetiría una formación similar con esta escuela. Creo que aún se podrían mejorar algunos detalles.,positivo,general,constructivo,medio,3,5,ninguno,1,5
"Cuando comparo esta formación con otras, percibo que la estructura de las sesiones es razonable, pero algo predecible. Me gustaría que se introdujeran cambios en este sentido.",neutral,metodologia,sugerencia,corto,2,4,grado_dificultad,2,4
