usuario_temp,origen_plataforma,IP_usuario,tiempo_en_pagina,fecha_hora,Localizacion,programa_oferta_click,Id_usuario,Dispositivo,Matriculado
TEMP_000076,Instagram,4.178.170.41,169,2024-03-07 16:22:15,"Bogotá, Colombia",C0027,,mobile,False
TEMP_000077,Instagram,200.250.255.50,821,2024-01-04 09:56:01,"Santiago, Chile",C0006,,tablet,False
TEMP_000078,Google Ads,109.13.3.215,63,2024-03-26 17:53:09,"Barcelona, España",C0010,,mobile,False
TEMP_000079,LinkedIn,247.51.118.7,60,2025-06-05 14:10:43,"Guadalajara, México",C0025,,desktop,False
TEMP_000080,Instagram,209.140.74.247,297,2025-09-03 08:16:18,"Córdoba, Argentina",C0015,,mobile,False
TEMP_000081,LinkedIn,35.68.191.104,133,2025-11-28 21:46:29,"Sevilla, España",C0021,,mobile,False
TEMP_000082,LinkedIn,179.60.168.142,421,2024-12-16 07:56:00,"Barcelona, España",C0020,,tablet,False
TEMP_000083,Google,12.82.76.151,404,2024-05-01 07:13:01,"Sevilla, España",C0017,,mobile,False
TEMP_000084,Google,112.122.43.236,15,2025-04-18 07:17:30,"Sevilla, España",C0014,,mobile,False
TEMP_000085,Google,192.171.70.174,102,2025-10-10 13:41:25,"Rosario, Argentina",C0021,U00323,mobile,True
TEMP_000086,Instagram,60.124.68.77,247,2024-05-19 16:01:42,"Málaga, España",C0013,U00169,tablet,True
TEMP_000087,LinkedIn,166.80.186.129,60,2024-02-28 07:44:26,"Madrid, España",C0025,,tablet,False
TEMP_000088,Instagram,251.49.241.34,224,2024-03-27 19:04:23,"Valparaíso, Chile",C0020,,mobile,False
TEMP_000089,Instagram,141.95.192.34,395,2025-11-11 12:18:30,"Ciudad de México, México",C0015,U00627,desktop,True
TEMP_000090,Google,65.59.235.136,306,2025-04-08 20:31:17,"Bilbao, España",C0008,,mobile,False
TEMP_000091,Google,42.202.73.58,711,2025-11-02 02:55:35,"Málaga, España",C0003,,desktop,False
TEMP_000092,Google Ads,127.202.214.4,448,2025-01-23 14:50:06,"Córdoba, Argentina",C0021,,mobile,False
TEMP_000093,Google,230.255.82.132,522,2025-05-20 11:08:00,"Valencia, España",C0029,,mobile,False
TEMP_000094,Instagram,96.121.166.166,105,2025-11-06 14:10:55,"Lima, Perú",C0011,,desktop,False
TEMP_000095,Google,122.121.125.104,647,2025-05-31 12:48:38,"Bilbao, España",C0014,,tablet,False
TEMP_000096,Google,32.94.183.249,900,2025-07-02 01:39:06,"Málaga, España",C0008,U00352,mobile,False
TEMP_000097,Google Ads,208.220.200.128,328,2024-07-20 16:49:27,"Barcelona, España",C0018,,mobile,False
TEMP_000098,Instagram,174.214.57.38,603,2024-06-11 13:45:36,"Rosario, Argentina",C0010,,tablet,False
TEMP_000099,Google,68.135.201.115,88,2025-10-14 14:52:17,"Milán, Italia",C0029,,mobile,False
TEMP_000100,Instagram,251.83.118.234,27,2024-10-15 11:55:25,"Lima, Perú",C0011,U00419,mobile,True
TEMP_000101,Google,44.213.38.231,761,2024-03-20 18:39:16,"Zaragoza, España",C0004,,mobile,False
TEMP_000102,Google Ads,83.162.182.96,133,2024-11-13 09:16:14,"Medellín, Colombia",C0019,U00517,mobile,True
TEMP_000103,Google Ads,141.193.224.28,96,2025-11-26 17:44:57,"Bilbao, España",C0023,U0087,mobile,True
TEMP_000104,LinkedIn,127.218.142.8,120,2024-03-14 05:28:35,"Barcelona, España",,U00650,mobile,True
TEMP_000105,LinkedIn,33.209.108.179,60,2024-09-07 17:08:19,"Valencia, España",C0024,U00371,mobile,False
TEMP_000106,Google,228.22.116.38,138,2024-08-04 07:54:55,"Valencia, España",C0029,,mobile,False
TEMP_000107,Google,215.115.224.77,30,2025-02-22 09:09:34,"Bilbao, España",C0024,,tablet,False
TEMP_000108,Google Ads,38.222.156.49,60,2024-04-17 07:32:01,"Bogotá, Colombia",,,mobile,False
TEMP_000109,Instagram,178.106.11.67,326,2025-05-10 08:03:49,"Málaga, España",C0006,,desktop,False
TEMP_000110,Google Ads,192.32.86.66,64,2024-02-07 13:30:40,"Medellín, Colombia",C0001,,mobile,False
TEMP_000111,Google,187.220.201.182,60,2025-07-15 10:23:59,"Barcelona, España",C0012,,mobile,False
TEMP_000112,LinkedIn,23.234.41.103,552,2024-12-18 18:47:51,"Zaragoza, España",C0029,,mobile,False
TEMP_000113,LinkedIn,212.61.55.7,91,2025-01-10 08:02:53,"Buenos Aires, Argentina",C0010,,mobile,False
TEMP_000114,Google,92.126.119.11,60,2024-06-14 09:38:34,"Rosario, Argentina",C0013,,desktop,False
TEMP_000115,LinkedIn,53.1.57.154,60,2025-10-25 04:24:00,"Guadalajara, México",,,mobile,False
TEMP_000116,Google,3.42.139.143,724,2024-09-18 13:53:06,"Sevilla, España",C0021,U00348,desktop,False
TEMP_000117,Instagram,229.146.237.184,17,2024-03-06 04:50:24,"Valencia, España",,,tablet,False
TEMP_000118,Instagram,141.98.28.180,101,2025-10-08 06:50:50,"Ciudad de México, México",C0025,,mobile,False
TEMP_000119,LinkedIn,240.93.91.25,752,2025-07-13 22:54:19,"Bilbao, España",C0015,U00525,tablet,True
TEMP_000120,Google Ads,153.79.2.2,495,2025-07-14 16:37:38,"Barcelona, España",C0004,,mobile,False
TEMP_000121,Google,86.118.117.189,468,2025-03-06 07:46:49,"Córdoba, Argentina",C0028,,mobile,False
TEMP_000122,Google,135.200.76.59,92,2025-01-09 12:58:51,"Rosario, Argentina",C0019,,mobile,False
TEMP_000123,Google,138.27.195.48,372,2025-08-05 11:27:41,"Bilbao, España",C0012,,tablet,False
TEMP_000124,Instagram,234.251.137.80,350,2025-03-23 09:03:08,"Sevilla, España",,,desktop,False
TEMP_000125,Google Ads,124.237.0.239,310,2024-10-30 11:28:36,"Córdoba, Argentina",,,tablet,False
TEMP_000126,Instagram,123.19.50.201,60,2024-06-11 11:30:21,"París, Francia",,,desktop,False
TEMP_000127,Instagram,14.114.224.23,900,2025-05-30 11:19:10,"Sevilla, España",,,mobile,False
TEMP_000128,LinkedIn,237.121.108.182,762,2025-04-24 10:47:56,"Bilbao, España",,,tablet,False
TEMP_000129,LinkedIn,199.121.21.247,756,2025-04-13 12:54:46,"Cali, Colombia",C0021,,tablet,False
TEMP_000130,Google,3.223.111.131,235,2024-08-17 13:57:50,"Buenos Aires, Argentina",C0030,,desktop,False
TEMP_000131,Instagram,196.240.38.207,657,2024-12-07 16:39:33,"Ciudad de México, México",C0029,,desktop,False
TEMP_000132,Google,169.94.108.196,138,2025-01-07 14:04:17,"Santiago, Chile",,,tablet,False
TEMP_000133,Google Ads,36.129.184.137,144,2024-05-03 08:44:35,"Madrid, España",,,mobile,False
TEMP_000134,Instagram,115.133.130.205,900,2025-04-30 18:55:07,"Santiago, Chile",C0011,,tablet,False
TEMP_000135,LinkedIn,210.235.18.82,101,2025-10-27 06:36:37,"Arequipa, Perú",C0010,,tablet,False
TEMP_000136,Google,224.164.96.160,102,2025-05-22 06:31:56,"Valencia, España",C0025,,desktop,False
TEMP_000137,LinkedIn,119.227.142.114,209,2025-05-20 21:08:10,"Valencia, España",C0006,U00359,mobile,False
TEMP_000138,Google,160.48.197.52,22,2025-07-13 14:26:46,"Barcelona, España",C0024,,mobile,False
TEMP_000139,Instagram,7.13.16.26,900,2025-11-27 20:47:05,"Bilbao, España",C0002,,tablet,False
TEMP_000140,Instagram,13.77.245.27,293,2024-06-26 13:03:05,"Madrid, España",C0006,,tablet,False
TEMP_000141,Instagram,173.222.207.92,60,2024-12-29 08:36:07,"Barcelona, España",,,desktop,False
TEMP_000142,Instagram,14.94.154.193,307,2025-01-29 13:28:27,"Arequipa, Perú",C0012,,tablet,False
TEMP_000143,Instagram,37.77.153.182,60,2025-04-19 16:31:55,"Milán, Italia",C0031,,mobile,False
TEMP_000144,LinkedIn,80.210.205.92,18,2025-07-12 12:14:35,"Bilbao, España",C0025,,tablet,False
TEMP_000145,Instagram,137.122.171.82,720,2024-04-07 07:55:47,"Bilbao, España",C0005,,mobile,False
TEMP_000146,Google Ads,85.108.55.148,10,2024-03-22 06:29:39,"Bogotá, Colombia",C0028,,mobile,False
TEMP_000147,LinkedIn,245.89.220.118,60,2025-05-24 16:25:12,"Arequipa, Perú",,,mobile,False
TEMP_000148,Instagram,43.127.127.7,207,2025-04-14 10:44:53,"Ciudad de México, México",,,mobile,False
TEMP_000149,LinkedIn,123.41.203.138,60,2025-07-25 09:45:47,"Barcelona, España",C0007,,mobile,False
TEMP_000150,Instagram,78.0.146.179,40,2024-09-11 10:18:09,"Lyon, Francia",C0010,U00108,desktop,True
TEMP_000151,LinkedIn,109.231.50.192,60,2025-11-02 20:08:33,"Zaragoza, España",,,mobile,False
TEMP_000152,Google,127.80.73.115,60,2024-11-02 11:07:43,"Málaga, España",C0008,,desktop,False
TEMP_000153,LinkedIn,21.166.104.173,28,2024-05-03 20:33:21,"Madrid, España",C0008,,mobile,False
TEMP_000154,Google,132.250.21.126,858,2025-06-29 12:08:22,"Lima, Perú",C0026,,tablet,False
TEMP_000155,LinkedIn,137.63.172.92,65,2025-03-31 15:59:50,"Buenos Aires, Argentina",C0006,U00341,mobile,True
TEMP_000156,Instagram,195.236.218.161,36,2025-10-26 07:16:51,"Madrid, España",C0021,,desktop,False
TEMP_000157,LinkedIn,184.221.251.184,60,2025-09-05 07:38:28,"Santiago, Chile",C0002,,desktop,False
TEMP_000158,Google,233.247.45.128,363,2025-02-15 15:32:00,"Lima, Perú",C0027,,mobile,False
TEMP_000159,Google Ads,92.243.190.226,579,2024-03-07 17:27:25,"Bilbao, España",C0021,,mobile,False
TEMP_000160,LinkedIn,90.215.20.239,125,2024-07-25 12:18:26,"Cali, Colombia",C0020,,mobile,False
TEMP_000161,Google Ads,59.134.183.189,127,2024-01-09 19:18:44,"Málaga, España",C0004,,mobile,False
TEMP_000162,Instagram,55.142.135.198,261,2025-06-30 07:23:59,"Lima, Perú",C0030,,mobile,False
TEMP_000163,Instagram,82.195.157.193,180,2024-01-31 09:52:46,"Madrid, España",C0003,,mobile,False
TEMP_000164,Google,224.109.110.203,428,2025-08-07 06:39:59,"Sevilla, España",C0015,,desktop,False
TEMP_000165,LinkedIn,200.224.140.162,302,2024-01-17 14:39:37,"Bogotá, Colombia",C0023,U00406,mobile,False
TEMP_000166,Instagram,16.116.63.217,150,2024-03-04 18:51:01,"Roma, Italia",C0017,,mobile,False
TEMP_000167,LinkedIn,32.199.214.120,60,2024-06-20 07:14:51,"Monterrey, México",C0022,,mobile,False
TEMP_000168,Google,171.148.176.175,104,2025-06-26 08:00:54,"Zaragoza, España",C0006,,mobile,False
TEMP_000169,Instagram,65.176.230.80,359,2024-07-20 03:39:00,"Monterrey, México",C0025,,mobile,False
TEMP_000170,Google Ads,79.74.233.226,96,2024-01-04 04:49:36,"Guadalajara, México",,,desktop,False
TEMP_000171,LinkedIn,89.239.194.103,80,2025-11-16 09:48:17,"Málaga, España",C0015,,desktop,False
TEMP_000172,Google Ads,211.233.222.120,88,2025-08-16 05:40:48,"Madrid, España",C0001,,mobile,False
TEMP_000173,LinkedIn,56.42.211.187,131,2025-11-07 16:55:50,"Zaragoza, España",C0002,,mobile,False
TEMP_000174,Google,181.11.247.29,379,2025-05-02 17:26:02,"Milán, Italia",C0023,U00484,mobile,False
TEMP_000175,Instagram,149.240.61.132,464,2024-11-14 07:12:41,"Bilbao, España",C0007,U00349,desktop,True
TEMP_000176,LinkedIn,215.68.26.123,180,2024-12-18 16:32:37,"Zaragoza, España",,,mobile,False
TEMP_000177,LinkedIn,203.148.113.163,313,2024-03-01 08:51:48,"Madrid, España",C0027,,tablet,False
TEMP_000178,Google,14.89.224.99,900,2025-05-28 08:00:16,"Zaragoza, España",C0012,,desktop,False
TEMP_000179,LinkedIn,247.140.239.160,207,2024-03-10 22:42:44,"Madrid, España",C0031,,desktop,False
TEMP_000180,Instagram,107.235.69.100,204,2025-03-03 05:04:36,"Málaga, España",C0026,,mobile,False
TEMP_000181,Google Ads,185.223.49.253,60,2024-01-04 18:02:27,"Lima, Perú",C0022,U00434,tablet,False
TEMP_000182,Instagram,110.86.32.7,202,2025-05-10 08:22:05,"Santiago, Chile",C0020,,mobile,False
TEMP_000183,LinkedIn,143.154.24.230,236,2025-06-22 22:11:35,"Lyon, Francia",C0002,,mobile,False
TEMP_000184,LinkedIn,139.13.215.51,96,2024-11-16 16:15:38,"Santiago, Chile",,,tablet,False
TEMP_000185,LinkedIn,172.173.207.206,140,2025-09-02 07:34:14,"Madrid, España",C0011,,desktop,False
TEMP_000186,Instagram,252.22.93.93,60,2025-10-23 10:25:34,"Sevilla, España",,,mobile,False
TEMP_000187,Google,96.61.59.246,119,2025-01-10 14:41:26,"Bilbao, España",C0022,,mobile,False
TEMP_000188,LinkedIn,230.174.142.121,140,2025-10-19 07:27:30,"Rosario, Argentina",C0030,,mobile,False
TEMP_000189,LinkedIn,174.220.109.137,159,2025-04-27 12:24:07,"Bilbao, España",C0023,,tablet,False
TEMP_000190,Google,233.233.58.61,60,2024-03-24 07:56:16,"Málaga, España",C0009,U00266,mobile,True
TEMP_000191,Instagram,53.6.177.109,526,2024-03-06 11:18:47,"Medellín, Colombia",,U00388,mobile,True
TEMP_000192,Instagram,9.52.136.213,381,2025-03-03 14:58:24,"Santiago, Chile",C0013,,mobile,False
TEMP_000193,Google Ads,170.136.47.74,900,2024-04-17 09:24:56,"Córdoba, Argentina",,,tablet,False
TEMP_000194,LinkedIn,200.198.222.134,100,2025-02-15 10:55:02,"Málaga, España",C0007,,desktop,False
TEMP_000195,Instagram,70.128.229.46,376,2024-07-27 12:25:08,"Valencia, España",C0007,,mobile,False
TEMP_000196,Google Ads,216.254.209.168,399,2024-06-06 13:21:33,"Barcelona, España",,,tablet,False
TEMP_000197,Google,105.218.41.193,111,2025-02-16 14:42:35,"Arequipa, Perú",C0014,,mobile,False
TEMP_000198,Google,103.128.118.3,187,2025-04-01 10:14:47,"Bilbao, España",C0020,,desktop,False
TEMP_000199,Google,252.170.153.26,160,2024-08-27 11:32:31,"Madrid, España",C0029,,desktop,False
TEMP_000200,Instagram,199.246.208.64,60,2025-03-13 10:57:30,"Barcelona, España",C0005,,mobile,False
TEMP_000201,Instagram,47.94.5.141,317,2025-07-19 18:44:07,"Valencia, España",C0023,,desktop,False
TEMP_000202,Google,117.128.253.167,60,2025-10-05 12:44:31,"Bilbao, España",C0001,,tablet,False
TEMP_000203,Google,107.200.94.193,71,2024-07-06 10:47:31,"Barcelona, España",C0010,U00105,mobile,False
TEMP_000204,Google,238.232.132.120,285,2025-08-08 12:02:06,"Madrid, España",C0007,,mobile,False
TEMP_000205,Instagram,102.136.239.223,72,2024-02-09 17:04:49,"Valencia, España",C0005,,tablet,False
TEMP_000206,Google Ads,155.72.96.63,229,2024-02-08 09:33:20,"Bilbao, España",,,mobile,False
TEMP_000207,LinkedIn,48.2.198.188,546,2024-12-06 10:10:03,"Barcelona, España",C0031,,mobile,False
TEMP_000208,LinkedIn,46.176.42.71,229,2025-06-03 01:26:49,"Córdoba, Argentina",C0021,,mobile,False
TEMP_000209,Instagram,66.33.186.11,651,2025-05-08 11:51:42,"Zaragoza, España",C0008,U00117,tablet,True
TEMP_000210,LinkedIn,104.124.147.50,163,2024-04-17 14:40:07,"Santiago, Chile",C0005,,desktop,False
TEMP_000211,Google,121.203.95.242,469,2024-12-21 21:21:04,"Monterrey, México",C0008,U0036,tablet,False
TEMP_000212,LinkedIn,110.198.29.217,108,2025-11-26 16:25:18,"Rosario, Argentina",C0016,U00344,mobile,False
TEMP_000213,Google,123.253.179.189,158,2025-06-22 15:41:45,"Málaga, España",C0018,,tablet,False
TEMP_000214,Instagram,38.145.188.206,78,2024-09-28 14:20:00,"Bilbao, España",,,mobile,False
TEMP_000215,LinkedIn,96.144.44.110,160,2025-04-16 13:12:28,"Barcelona, España",,,desktop,False
TEMP_000216,LinkedIn,122.8.234.164,617,2024-04-24 08:25:50,"Valparaíso, Chile",C0018,,desktop,False
TEMP_000217,Instagram,47.229.177.177,180,2025-10-05 13:59:12,"París, Francia",C0004,,mobile,False
TEMP_000218,Google,238.103.90.157,10,2025-08-09 23:39:08,"Sevilla, España",C0031,,desktop,False
TEMP_000219,Instagram,227.208.201.195,10,2024-12-17 11:26:19,"Madrid, España",C0010,,mobile,False
TEMP_000220,LinkedIn,9.125.91.92,297,2024-02-25 16:02:26,"Roma, Italia",C0020,,mobile,False
TEMP_000221,LinkedIn,219.101.214.231,357,2024-12-01 08:28:18,"Bilbao, España",,,desktop,False
TEMP_000222,LinkedIn,117.43.178.220,356,2024-05-06 19:56:02,"Sevilla, España",C0023,,mobile,False
TEMP_000223,LinkedIn,104.49.133.250,187,2025-03-17 10:13:11,"Córdoba, Argentina",C0025,,desktop,False
TEMP_000224,Google Ads,132.114.112.187,443,2024-12-08 13:43:29,"Lima, Perú",C0006,,mobile,False
TEMP_000225,LinkedIn,87.186.252.197,10,2024-01-10 09:05:50,"Sevilla, España",C0014,,mobile,False
TEMP_000226,LinkedIn,237.202.215.10,807,2025-08-12 14:33:38,"Barcelona, España",C0018,U00549,desktop,False
TEMP_000227,Google Ads,91.69.220.59,60,2024-10-11 16:40:36,"Lisboa, Portugal",C0002,,mobile,False
TEMP_000228,Google,247.178.31.174,361,2024-02-10 11:44:32,"Córdoba, Argentina",C0013,,tablet,False
TEMP_000229,Instagram,88.76.254.202,61,2025-09-07 17:20:19,"Bogotá, Colombia",C0020,,tablet,False
TEMP_000230,Google,195.79.169.88,694,2024-12-03 16:41:51,"Zaragoza, España",,,mobile,False
TEMP_000231,Google Ads,154.102.156.190,360,2024-09-15 19:30:18,"Ciudad de México, México",,,mobile,False
TEMP_000232,LinkedIn,81.3.24.231,407,2025-02-14 17:23:20,"Málaga, España",C0012,,mobile,False
TEMP_000233,LinkedIn,245.177.27.149,446,2025-02-11 13:29:31,"Valparaíso, Chile",C0023,,desktop,False
TEMP_000234,Google Ads,111.60.97.200,162,2024-03-14 11:59:55,"Madrid, España",C0025,,mobile,False
TEMP_000235,Google,255.223.52.128,127,2025-03-15 08:37:00,"Bilbao, España",C0010,,tablet,False
TEMP_000236,Google Ads,135.74.111.97,60,2024-08-24 08:15:01,"Cali, Colombia",C0011,,tablet,False
TEMP_000237,Instagram,18.106.93.78,122,2025-02-28 12:55:25,"Ciudad de México, México",C0031,,mobile,False
TEMP_000238,Google Ads,157.182.12.87,394,2024-08-02 14:33:00,"Milán, Italia",C0004,,desktop,False
TEMP_000239,Instagram,8.210.237.118,118,2024-10-17 15:16:31,"Ciudad de México, México",C0005,,mobile,False
TEMP_000240,Google,241.161.222.241,118,2025-03-19 22:48:37,"Madrid, España",C0026,,mobile,False
TEMP_000241,Google Ads,150.114.189.44,642,2025-09-06 16:28:39,"Oporto, Portugal",C0029,U00235,mobile,True
TEMP_000242,LinkedIn,76.140.51.127,222,2025-09-23 15:17:57,"Lyon, Francia",,,desktop,False
TEMP_000243,LinkedIn,219.200.228.219,427,2025-03-11 18:46:04,"Zaragoza, España",C0019,,mobile,False
